ID,condition,condition_MvC,condition_coded,IAT1_addict,IAT2_addict,IAT3_addict,FUTUREA_kable_vs_FUTUREvCONTROL,FUTUREA_saxe_rtpj_FUTUREvCONTROL,IAT_addict_T1T2,IAT_addict_T2T3,IAT_addict_T1T3,PPI_saxe_RTPJ_to_kable_VS,,,
PA005,C,-1,2,0.1,0.21,-0.017,-0.0069346,-0.045215,0.11,-0.227,-0.117,0.141792023,,,
PA006,M,1,3,1.039,1.038,0.782,0.18724,0.090418,-0.001,-0.256,-0.257,-0.005462303,,,
PA008,M,1,3,0.793,0.647,0.44,-0.00081815,-0.037337,-0.146,-0.207,-0.353,-0.104909865,,,
PA010,C,-1,2,0.263,0.337,-0.003,-0.060442,0.05406,0.074,-0.34,-0.266,-0.007550076,,,
PA013,M,1,3,0.36,0.314,0.534,0.065225,0.073559,-0.046,0.22,0.174,0.059660887,,,
PA014,C,-1,2,0.941,0.547,0.568,-0.013971,-0.089591,-0.394,0.021,-0.373,-0.020073948,,,
PA016,M,1,3,-0.115,0.325,0.436,0.018426,-0.02761,0.44,0.111,0.551,0.053181041,,,
PA017,C,-1,2,1.208,0.936,0.768,-0.069446,-0.1377,-0.272,-0.168,-0.44,-0.003806368,,,
PA019,C,-1,2,-0.368,0.005,0.652,0.07816,0.062717,0.373,0.647,1.02,-0.157731671,,,
PA020,M,1,3,1.072,0.754,0.902,-0.018786,0.11509,-0.318,0.148,-0.17,-0.003460011,,,
PA023,C,-1,2,0.022,0.217,1.072,-0.12451,-0.092075,0.195,0.855,1.05,-0.008651322,,,
PA025,C,-1,2,-0.047,0.718,0.777,-0.085021,-0.099539,0.765,0.059,0.824,0.024232737,,,
PA027,M,1,3,0.716,0.669,0.681,0.0058069,-0.046165,-0.047,0.012,-0.035,-0.014427138,,,
PA028,M,1,3,0.42,0.325,0.493,0.030433,0.072675,-0.095,0.168,0.073,0.063207579,,,
PA029,C,-1,2,0.63,0.292,0.694,0.049196,0.0044146,-0.338,0.402,0.064,0.014950833,,,
PA031,M,1,3,-0.337,1.077,0.907,-0.04092,0.01416,1.414,-0.17,1.244,-0.051904608,,,
PA032,C,-1,2,0.158,0.345,0.297,-0.019176,0.047561,0.187,-0.048,0.139,0.007236153,,,
PA034,C,-1,2,0.945,0.869,0.659,0.079939,0.0051837,-0.076,-0.21,-0.286,-0.113864899,,,
PA036,C,-1,2,0.66,1.269,0.899,0.014532,0.023745,0.609,-0.37,0.239,-0.059068372,,,
PA040,C,-1,2,0.529,0.607,0.751,0.15849,0.086667,0.078,0.144,0.222,-0.028246089,,,
PA044,M,1,3,0.786,0.943,1.063,-0.15236,-0.049705,0.157,0.12,0.277,-0.079986581,,,
PA046,M,1,3,0.803,1.021,0.771,0.076635,0.057823,0.218,-0.25,-0.032,-0.028052658,,,
PA048,C,-1,2,0.961,0.656,0.922,-0.015386,0.067773,-0.305,0.266,-0.039,0.108110616,,,
PA049,M,1,3,0.067,0.867,0.344,0.0094436,0.038322,0.8,-0.523,0.277,-0.007362352,,,
PA050,C,-1,2,0.793,0.739,0.838,-0.048374,-0.045853,-0.054,0.099,0.045,-0.016680062,,,
PA055,M,1,3,0.957,0.825,0.616,0.042324,0.25362,-0.132,-0.209,-0.341,0.112752941,,,
PA059,C,-1,2,0.914,0.794,0.355,0.076861,0.07822,-0.12,-0.439,-0.559,0.072355068,,,
PA060,C,-1,2,0.958,0.908,1.138,-0.058727,-0.085658,-0.05,0.23,0.18,-0.003288636,,,
PA061,C,-1,2,1.448,0.916,1.097,-0.07237,0.074042,-0.532,0.181,-0.351,-0.021846483,,,
PA063,C,-1,2,0.311,0.414,0.489,0.06304,-0.0077502,0.103,0.075,0.178,-0.110620615,,,
PA067,M,1,3,0.494,0.348,0.417,-0.054809,-0.012644,-0.146,0.069,-0.077,0.039271887,,,
PA068,M,1,3,0.899,0.553,0.646,0.10265,0.16633,-0.346,0.093,-0.253,-0.067809666,,,
PA071,M,1,3,0.926,0.927,0.375,-0.099714,-0.0013421,0.001,-0.552,-0.551,0.044096361,,,
PA072,M,1,3,0.496,0.462,0.309,0.0069974,0.029545,-0.034,-0.153,-0.187,-0.033147066,,,
PA074,M,1,3,0.907,0.351,0.717,-0.075864,-0.057715,-0.556,0.366,-0.19,0.083049606,,,
PA077,M,1,3,0.781,0.339,0.399,0.075795,0.12875,-0.442,0.06,-0.382,0.059741511,,,
PA078,M,1,3,0.856,0.869,0.681,0.010019,0.050513,0.013,-0.188,-0.175,-0.114817932,,,
PA080,M,1,3,0.576,0.822,0.427,0.029891,0.0010859,0.246,-0.395,-0.149,0.083945965,,,
PA083,C,-1,2,0.521,0.415,0.797,-0.15443,-0.061568,-0.106,0.382,0.276,0.032509172,,,
PA086,M,1,3,0.628,0.868,0.552,0.043721,0.064151,0.24,-0.316,-0.076,-0.061291544,,,
PA088,M,1,3,1.005,0.859,0.53,0.11794,0.21462,-0.146,-0.329,-0.475,-0.048866491,,,
PA090,C,-1,2,-0.269,0.774,1.18,0.01578,-0.066731,1.043,0.406,1.449,-0.166903047,,,
PA093,C,-1,2,-0.048,0.735,0.44,0.03954,-0.0046411,0.783,-0.295,0.488,-0.096524497,,,
PA097,C,-1,2,-0.145,0.572,0.782,-0.070577,-0.040202,0.717,0.21,0.927,-0.037823623,,,
PA098,C,-1,2,0.569,0.371,0.562,-0.015834,0.1114,-0.198,0.191,-0.007,-0.011908719,,,
PA102,C,-1,2,0.973,0.599,0.806,0.016108,0.064095,-0.374,0.207,-0.167,-0.018931225,,,
PA103,C,-1,2,0.747,0.988,0.409,-0.037128,0.033567,0.241,-0.579,-0.338,0.054496299,,,
PA107,C,-1,2,0.699,0.249,0.838,0.076571,-0.015145,-0.45,0.589,0.139,-0.044639393,,,
PA176,M,1,3,0.181,0.579,-0.104,-0.01007,-0.0098321,0.398,-0.683,-0.285,0.027024544,,,
PA180,M,1,3,0.525,0.417,0.711,0.10662,0.053238,-0.108,0.294,0.186,0.009417035,,,
PA192,M,1,3,0.99,0.626,0.588,0.0086929,0.014106,-0.364,-0.038,-0.402,-0.004184954,,,
