ID,filter_brain_purpose,condition,condition_coded,Purpose,gender,age,race,eduyrs,response_reward_r_activity_howvcontrol_how,response_reward_r_activity_riskvcontrol_risk,response_reward_r_activity_whyvcontrol_why,response_conflict_r_activity_howvcontrol_how,response_conflict_r_activity_riskvcontrol_risk,response_conflict_r_activity_whyvcontrol_why,postscan_activity_how,postscan_activity_why,postscan_activity_risk
PA001,1,A,1,4.571428571,2,26,3,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
PA002,2,C,2,3.857142857,2,45,3,12,NA,NA,NA,NA,NA,NA,5,5,3.4
PA003,1,M,3,4.571428571,2,26,3,16,-0.048475281,-0.016945119,-0.081673883,-0.054548,-0.070501,-0.14553,3.95,3.85,3.35
PA004,1,M,3,4.285714286,1,36,1,19,0.01187728,-0.023940382,0.084522367,0.067275,-0.11004,0.03898,3.85,4.3,4.25
PA005,1,C,2,4.571428571,2,34,3,12,-0.006127503,0.016617221,-0.017666237,0.025166,0.038886,0.04964,4,3.9,4.1
PA006,1,M,3,6,1,38,3,14,-0.00259906,0.067990894,0.115525826,0.10551,0.014333,0.23169,4.8,5,5
PA007,1,A,1,5.714285714,1,43,3,12,0.033639098,-0.066278877,0.144061543,0.013126,0.014562,0.10809,4,4.8,4.85
PA008,1,M,3,6,1,27,3,12,-0.063654942,0.0284405,-0.085558201,-0.17466,0.012032,-0.091296,4.55,4.65,3.55
PA009,1,A,1,3.571428571,1,27,3,10,-0.06707013,0.141092711,-0.078588099,-0.083038,0.087519,-0.00054275,5,5,5
PA010,1,C,2,6,2,28,3,15,-0.192588711,-0.140791928,0.065627576,0.033139,-0.028722,-0.020652,4.5,4.3,3.75
PA011,1,A,1,5.428571429,1,28,2,16,0.137260214,-0.037574445,-0.088545281,0.045261,-0.06322,0.011412,4.6,4.35,4.25
PA012,1,A,1,2.571428571,2,24,3,16,-0.046236678,0.154922646,0.095601669,-0.019228,0.053323,0.083293,3.75,4.05,4.1
PA013,1,M,3,6,2,50,1,21,0.121791939,-0.06131392,0.053573702,0.12701,-0.11294,0.01515,4.4,4.35,4.73
PA014,1,C,2,5.714285714,1,37,3,14,0.074786081,0.025547314,-0.502966023,0.16243,-0.0029949,-0.3956,4.7,4.7,4.6
PA015,1,A,1,5,2,20,3,12,-0.048349074,-0.098252947,-0.437395404,-0.039081,-0.1093,0.014206,4.25,4.4,4
PA016,1,M,3,4,1,60,1,16,-0.026602873,0.005089061,-0.060735553,-0.031878,-0.02597,-0.026044,4,4,4
PA017,1,C,2,5.714285714,2,22,3,16,-0.081576625,0.030062266,-0.214335833,-0.13564,0.021545,-0.19379,3.55,3.85,4.05
PA018,1,A,1,6,2,28,3,14,0.002259714,0.030237919,-0.009329283,0.057706,-0.12786,-0.16612,4.6,5,4.8
PA019,1,C,2,5.857142857,1,38,2,12,-0.045505862,0.151085486,-0.053206342,-0.11671,0.13882,-0.046327,4.95,4.4,4.7
PA020,1,M,3,5,2,23,3,14,-0.013081162,0.07079483,-0.089778108,-0.028484,0.057419,0.022333,4.25,4.05,4
PA021,1,A,1,4.857142857,2,22,3,16,-0.028032186,-0.029549882,-0.351041315,-0.21798,0.1899,-0.14282,5,4.85,4.7
PA022,1,M,3,6,1,50,3,16,NA,NA,NA,NA,NA,NA,4.4,4.65,4.4
PA023,1,C,2,3.857142857,1,54,1,12,0.076843124,0.029734354,-0.024380294,0.067,0.030193,-0.049045,2.55,3.25,3.15
PA024,2,M,3,4.285714286,1,51,3,16,NA,NA,NA,NA,NA,NA,5,5,5
PA025,1,C,2,5.142857143,2,20,3,12,0.027176304,-0.009988715,-0.092163903,0.042089,0.033093,-0.069571,4.85,4.55,4.3
PA026,1,C,2,4.285714286,1,23,3,16,0.106434522,0.31230502,-0.017782637,0.094469,0.36237,0.025913,4.2,4.6,4
PA027,1,M,3,5.857142857,2,34,3,14,-0.003558009,0.136858467,0.040786259,0.074506,0.14931,-0.052838,4.2,4.41,4.6
